"mileage","price","year","color","condition","state","soundSystem"
16618,65001,2013,"Silver","CPO","NJ","Bang Olufsen"
18344,54450,2012,"Black","Used","MD","Premium"
28850,59997,2013,"Black","CPO","TX","Harman Kardon"
26225,57991,2012,"White","Used","OH","Premium"
15705,59950,2012,"Silver","CPO","MO","Harman Kardon"
16,99925,2014,"Black","New","CA","unsp"
7,141035,2014,"Black","New","CA","unsp"
10,101965,2014,"Black","New","FL","Premium"
85,100390,2014,"White","New","CA","unsp"
53,107880,2014,"White","New","OH","Premium"
61069,35486,2009,"Black","Used","NY","Premium"
65891,32990,2007,"Gray","Used","GA","Harman Kardon"
123249,18900,2007,"Black","Used","MI","Harman Kardon"
17885,66942,2012,"Black","CPO","NC","unsp"
16659,55900,2012,"Black","Used","FL","Premium"
9064,65995,2012,"Black","CPO","WA","Harman Kardon"
11998,75877,2013,"Black","Used","SC","Premium"
61681,27581,2007,"White","Used","NJ","unsp"
51777,37995,2008,"Black","Used","MS","unsp"
46874,27998,2007,"White","Used","MA","unsp"
136376,17950,2007,"Black","Used","IL","unsp"
32695,42995,2009,"Black","Used","MA","Premium"
35005,59890,2011,"Black","CPO","NJ","unsp"
17290,68995,2013,"Silver","CPO","MI","Harman Kardon"
18626,70998,2013,"Silver","Used","MA","Harman Kardon"
21281,58942,2012,"Silver","Used","MD","Premium"
5005,94876,2014,"unsp","Used","WI","unsp"
9,111835,2014,"Black","New","KS","Premium"
40041,36450,2008,"White","Used","TX","unsp"
54899,30999,2008,"Black","Used","GA","Premium"
37179,51991,2011,"Black","Used","CA","unsp"
35342,54888,2011,"Black","CPO","CA","Premium"
63012,44995,2010,"Black","Used","TX","Harman Kardon"
56500,37995,2010,"White","CPO","VA","Harman Kardon"
15450,69991,2013,"Black","Used","TX","unsp"
40109,49999,2012,"Silver","Used","GA","Harman Kardon"
22171,63941,2013,"Black","Used","CA","Harman Kardon"
23346,53450,2012,"Black","Used","TX","Harman Kardon"
65231,27900,2008,"Silver","Used","AL","unsp"
64072,29975,2007,"Black","Used","CO","unsp"
86788,34997,2009,"Gray","Used","VA","Premium"
75000,27991,2007,"Black","Used","OH","unsp"
54007,29995,2007,"White","Used","NY","Harman Kardon"
69132,34990,2009,"White","Used","GA","unsp"
69783,41985,2010,"Black","Used","MD","unsp"
46311,49500,2011,"Silver","Used","OH","Premium"
12382,64185,2013,"Black","CPO","NY","Premium"
5,115855,2013,"Silver","New","NY","unsp"
28000,49894,2012,"Black","Used","FL","unsp"
6,103640,2014,"Black","New","CA","unsp"
92,96511,2014,"White","New","CA","unsp"
11,111055,2014,"Black","New","FL","unsp"
10,107220,2014,"White","New","FL","unsp"
