"","time","COAST","temp","weekday"
"93","2010-06-10 11:00:00",13545.3273872721,27.1,1
"94","2010-06-10 12:00:00",14252.815719638,28.1,1
"95","2010-06-10 13:00:00",14837.3277738504,28.6,1
"96","2010-06-10 14:00:00",15249.8262582258,29.35,1
"97","2010-06-10 15:00:00",15578.1673281931,31.1,1
"98","2010-06-10 16:00:00",15758.8480452096,31.1,1
"99","2010-06-10 17:00:00",15740.9471742744,32.1,1
"100","2010-06-10 18:00:00",15524.0587890654,31.1,1
"101","2010-06-11 09:00:00",11963.3147710309,27.1,1
"102","2010-06-11 10:00:00",12781.7256609279,27.1,1
"103","2010-06-11 11:00:00",13675.6030101314,27.1,1
"104","2010-06-11 12:00:00",14384.9308675402,27.6,1
"105","2010-06-11 13:00:00",14879.9256252658,29.1,1
"106","2010-06-11 14:00:00",15395.5887951312,30.1,1
"107","2010-06-11 15:00:00",15772.185522254,31.1,1
"108","2010-06-11 16:00:00",15959.4486876294,31.1,1
"109","2010-06-11 17:00:00",16026.6254886505,31.1,1
"110","2010-06-11 18:00:00",15896.048352495,32.1,1
"111","2010-06-12 09:00:00",11490.7819755469,27.1,0
"112","2010-06-12 10:00:00",12408.2711711588,27.1,0
"113","2010-06-12 11:00:00",13424.11718594,27.1,0
"114","2010-06-12 12:00:00",14092.7682091887,28.1,0
"115","2010-06-12 13:00:00",14528.2925850714,29.1,0
"116","2010-06-12 14:00:00",14845.4810194064,30.1,0
"117","2010-06-12 15:00:00",15076.5714475415,32.1,0
"118","2010-06-12 16:00:00",15193.5713869007,32.1,0
"119","2010-06-12 17:00:00",15241.743205327,32.1,0
"120","2010-06-12 18:00:00",15111.0396353218,32.1,0
"121","2010-06-13 09:00:00",10781.8516451837,27.1,0
"122","2010-06-13 10:00:00",11664.799222867,27.1,0
"123","2010-06-13 11:00:00",12678.583019266,27.1,0
"124","2010-06-13 12:00:00",13456.9320551524,28.1,0
"125","2010-06-13 13:00:00",14298.0838072227,29.1,0
"126","2010-06-13 14:00:00",14838.6463732603,30.1,0
"127","2010-06-13 15:00:00",15242.9741645232,30.35,0
"128","2010-06-13 16:00:00",15457.2785531594,32.1,0
"129","2010-06-13 17:00:00",15519.4712037541,32.1,0
"130","2010-06-13 18:00:00",15449.068690393,32.1,0
"131","2010-06-14 09:00:00",12156.001014716,26.1,1
"132","2010-06-14 10:00:00",12970.3957090598,26.1,1
"133","2010-06-14 11:00:00",13977.2167907431,26.1,1
"134","2010-06-14 12:00:00",14804.5770682728,27.1,1
"135","2010-06-14 13:00:00",15445.258760387,28.1,1
"136","2010-06-14 14:00:00",16059.7149580717,30.1,1
"137","2010-06-14 15:00:00",16516.0174350725,30.1,1
"138","2010-06-14 16:00:00",16678.0392608907,32.1,1
"139","2010-06-14 17:00:00",16664.5616047224,32.1,1
"140","2010-06-14 18:00:00",16471.6139098354,33.1,1
"141","2010-06-15 09:00:00",11731.3525125552,25.1,1
"142","2010-06-15 10:00:00",12584.7765358158,26.1,1
"143","2010-06-15 11:00:00",13536.2447332102,26.1,1
"144","2010-06-15 12:00:00",14370.0689454415,27.1,1
"145","2010-06-15 13:00:00",14932.9999854818,29.1,1
"146","2010-06-15 14:00:00",15368.7996934201,30.1,1
"147","2010-06-15 15:00:00",15689.1950502786,31.1,1
"148","2010-06-15 16:00:00",15870.6388366479,31.1,1
"149","2010-06-15 17:00:00",16092.9464001854,33.1,1
"150","2010-06-15 18:00:00",16023.3609281756,33.1,1
"151","2010-06-16 09:00:00",11661.253926198,26.1,1
"152","2010-06-16 10:00:00",12692.6926165096,26.1,1
"153","2010-06-16 11:00:00",13725.5493825887,25.1,1
"154","2010-06-16 12:00:00",14684.429563581,27.1,1
"155","2010-06-16 13:00:00",15436.4695786357,29.1,1
"156","2010-06-16 14:00:00",16111.4633194104,30.1,1
"157","2010-06-16 15:00:00",16590.5206295761,31.1,1
"158","2010-06-16 16:00:00",16821.8022746907,32.1,1
"159","2010-06-16 17:00:00",16926.2297926801,33.1,1
"160","2010-06-16 18:00:00",16844.6603525756,33.1,1
"161","2010-06-17 09:00:00",11939.6691375151,26.1,1
"162","2010-06-17 10:00:00",12910.7765165913,26.1,1
"163","2010-06-17 11:00:00",13866.4159211804,26.1,1
"164","2010-06-17 12:00:00",14737.8138959928,28.1,1
"165","2010-06-17 13:00:00",15396.6812822119,29.1,1
"166","2010-06-17 14:00:00",15975.9639668872,29.1,1
"167","2010-06-17 15:00:00",16401.1136027021,32.1,1
"168","2010-06-17 16:00:00",16672.2008370237,33.1,1
"169","2010-06-17 17:00:00",16832.3615971186,33.1,1
"170","2010-06-17 18:00:00",16726.5952409797,34.1,1
"171","2010-06-18 09:00:00",12009.8062331425,26.1,1
"172","2010-06-18 10:00:00",12989.4918262005,26.1,1
"173","2010-06-18 11:00:00",13966.5163858261,26.1,1
"174","2010-06-18 12:00:00",14826.9231932143,27.1,1
"175","2010-06-18 13:00:00",15569.7281392231,29.1,1
"176","2010-06-18 14:00:00",16238.3225935413,30.1,1
"177","2010-06-18 15:00:00",16692.9683577718,31.1,1
"178","2010-06-18 16:00:00",16922.7133599504,32.1,1
"179","2010-06-18 17:00:00",16889.2508653149,33.1,1
"180","2010-06-18 18:00:00",16577.7146618163,34.1,1
"181","2010-06-19 09:00:00",10966.1570828813,25.1,0
"182","2010-06-19 10:00:00",12042.3005110599,25.1,0
"183","2010-06-19 11:00:00",13152.8053803683,24.1,0
"184","2010-06-19 12:00:00",14201.5250101381,27.1,0
"185","2010-06-19 13:00:00",15072.0756032108,28.1,0
"186","2010-06-19 14:00:00",15783.470654393,29.1,0
"187","2010-06-19 15:00:00",16279.3788932926,31.1,0
"188","2010-06-19 16:00:00",16431.7752495782,32.1,0
"189","2010-06-19 17:00:00",16464.97731932,33.1,0
"190","2010-06-19 18:00:00",16167.2096670486,33.1,0
"191","2010-06-20 09:00:00",10588.9589750621,26.1,0
"192","2010-06-20 10:00:00",11625.7863172683,26.1,0
"193","2010-06-20 11:00:00",12742.9244627332,26.1,0
"194","2010-06-20 12:00:00",13882.5584187213,27.1,0
"195","2010-06-20 13:00:00",14840.1675414963,29.1,0
"196","2010-06-20 14:00:00",15482.261754093,30.1,0
"197","2010-06-20 15:00:00",16038.7057529965,31.1,0
"198","2010-06-20 16:00:00",16343.3083622605,33.1,0
"199","2010-06-20 17:00:00",16432.7139697993,33.1,0
"200","2010-06-20 18:00:00",16256.3432292281,34.1,0
"201","2010-06-21 09:00:00",11904.1987221835,26.1,1
"202","2010-06-21 10:00:00",12904.6220556689,26.1,1
"203","2010-06-21 11:00:00",14003.153053251,26.1,1
"204","2010-06-21 12:00:00",15032.385176283,28.1,1
"205","2010-06-21 13:00:00",15870.7468774337,29.1,1
"206","2010-06-21 14:00:00",16662.0611548381,30.1,1
"207","2010-06-21 15:00:00",17234.0084232184,31.1,1
"208","2010-06-21 16:00:00",17538.0164350922,33.1,1
"209","2010-06-21 17:00:00",17606.6444314062,34.1,1
"210","2010-06-21 18:00:00",17345.4726148032,34.1,1
"211","2010-06-22 09:00:00",12046.2063299923,27.1,1
"212","2010-06-22 10:00:00",13192.5599082721,26.1,1
"213","2010-06-22 11:00:00",14227.85257524,26.1,1
"214","2010-06-22 12:00:00",15285.0823878685,28.1,1
"215","2010-06-22 13:00:00",16084.8658540697,29.1,1
"216","2010-06-22 14:00:00",16698.246823448,31.1,1
"217","2010-06-22 15:00:00",17177.0542127457,32.1,1
"218","2010-06-22 16:00:00",17242.7560096586,33.1,1
"219","2010-06-22 17:00:00",17013.6281698683,33.1,1
"220","2010-06-22 18:00:00",16406.8430092732,33.1,1
"221","2010-06-23 09:00:00",11720.3341872573,27.1,1
"222","2010-06-23 10:00:00",12743.0662751768,26.1,1
"223","2010-06-23 11:00:00",13705.1459362821,26.1,1
"224","2010-06-23 12:00:00",14625.5051959923,28.1,1
"225","2010-06-23 13:00:00",15133.6586826994,29.1,1
"226","2010-06-23 14:00:00",15385.36200748,30.1,1
"227","2010-06-23 15:00:00",15507.6231867888,32.1,1
"228","2010-06-23 16:00:00",15384.1009541067,32.1,1
"229","2010-06-23 17:00:00",15283.9402979863,31.1,1
"230","2010-06-23 18:00:00",15205.0412068939,31.1,1
"231","2010-06-24 09:00:00",11119.4250071543,27.1,1
"232","2010-06-24 10:00:00",11787.9813674194,25.1,1
"233","2010-06-24 11:00:00",12462.2597897258,24.1,1
"234","2010-06-24 12:00:00",13045.9580622637,24.1,1
"235","2010-06-24 13:00:00",13603.3702225581,24.1,1
"236","2010-06-24 14:00:00",14144.276529436,26.1,1
"237","2010-06-24 15:00:00",14589.4120237728,28.1,1
"238","2010-06-24 16:00:00",14930.1672852778,30.1,1
"239","2010-06-24 17:00:00",15276.1425873454,32.1,1
"240","2010-06-24 18:00:00",15475.4174068181,31.1,1
"241","2010-06-25 09:00:00",11505.3847153322,26.1,1
"242","2010-06-25 10:00:00",12596.5057912865,26.1,1
"243","2010-06-25 11:00:00",13504.5291278988,26.1,1
"244","2010-06-25 12:00:00",14288.7620756159,27.1,1
"245","2010-06-25 13:00:00",14736.5825340939,29.1,1
"246","2010-06-25 14:00:00",14991.818369005,31.1,1
"247","2010-06-25 15:00:00",15061.6030331772,31.1,1
"248","2010-06-25 16:00:00",15239.3266434166,32.1,1
"249","2010-06-25 17:00:00",15440.5443404747,30.1,1
"250","2010-06-25 18:00:00",15350.8630742549,27.35,1
"251","2010-06-26 09:00:00",11159.3835854319,26.1,0
"252","2010-06-26 10:00:00",12225.7819715813,26.1,0
"253","2010-06-26 11:00:00",13252.2155152991,26.1,0
"254","2010-06-26 12:00:00",14126.6568446411,27.1,0
"255","2010-06-26 13:00:00",14903.6280441461,29.1,0
"256","2010-06-26 14:00:00",15485.5354146584,30.6,0
"257","2010-06-26 15:00:00",15822.9423468089,31.1,0
"258","2010-06-26 16:00:00",16016.5382089924,32.1,0
"259","2010-06-26 17:00:00",16114.9920810549,33.1,0
"260","2010-06-26 18:00:00",15885.2630545607,34.1,0
"261","2010-06-27 09:00:00",10524.8815041734,26.1,0
"262","2010-06-27 10:00:00",11608.2073144513,26.1,0
"263","2010-06-27 11:00:00",12665.438566037,26.6,0
"264","2010-06-27 12:00:00",13696.4167810217,28.1,0
"265","2010-06-27 13:00:00",14556.8276045471,29.1,0
"266","2010-06-27 14:00:00",15234.9294550562,31.1,0
"267","2010-06-27 15:00:00",15779.6654171492,32.1,0
"268","2010-06-27 16:00:00",16144.4456549172,33.1,0
"269","2010-06-27 17:00:00",16313.44994923,34.1,0
"270","2010-06-27 18:00:00",16273.5619394982,33.1,0
"271","2010-06-28 09:00:00",12084.2154758979,27.1,1
"272","2010-06-28 10:00:00",13030.4750947596,27.1,1
"273","2010-06-28 11:00:00",13822.9863092635,27.1,1
"274","2010-06-28 12:00:00",14459.4124500428,28.1,1
"275","2010-06-28 13:00:00",14719.6851091326,29.1,1
"276","2010-06-28 14:00:00",14976.7740474291,31.1,1
"277","2010-06-28 15:00:00",15257.1320132654,30.1,1
"278","2010-06-28 16:00:00",15351.8028211848,26.1,1
"279","2010-06-28 17:00:00",15262.3196663025,29.1,1
"280","2010-06-28 18:00:00",14949.0704901615,29.1,1
"281","2010-06-29 09:00:00",11600.2354307931,26.1,1
"282","2010-06-29 10:00:00",12473.0247425095,26.1,1
"283","2010-06-29 11:00:00",13315.0045006718,26.1,1
"284","2010-06-29 12:00:00",14083.7608708817,27.1,1
"285","2010-06-29 13:00:00",14569.34003571,28.1,1
"286","2010-06-29 14:00:00",15057.1111128161,29.1,1
"287","2010-06-29 15:00:00",15426.0729129134,30.1,1
